year	genre	author	shorttitle
32	mystery and detective fiction	Falrlie. G. 	 Shot in the dark
32	mystery and detective fiction	Fane. A. 	 Wvollffe-Pepln rase
32	mystery and detective fiction	Farjeon. J. J. 	 Trunk-call mystery
32	mystery and detective fiction	"Farjeon. J. .1. ""Z' murders. "	 Ag '32)
32	mystery and detective fiction	Fenrtison W. B. M. 	 Murder of Christine Wllmerdlng
32	mystery and detective fiction	Fpreuson. W. B. M. 	 Pilditch puzzle
32	mystery and detective fiction	Field. T. 	 Killers' carnival
32	mystery and detective fiction	Fielding, A. 	 Death of John Tail
32	mystery and detective fiction	Fielding. A. 	 TpfoId farm mystery
32	mystery and detective fiction	Fielding. A. 	 Weddinc chest mystery
32	mystery and detective fiction	Fisher, R. 	 Conjure-man dies
32	mystery and detective fiction	Fltzslmmons, C. 	 No witness
32	mystery and detective fiction	Fletcher, J. S. 	 Murder in the squire's pew
32	mystery and detective fiction	Fletcher. J. S. 	 Murder of the ninth baronet
32	mystery and detective fiction	Fletcher. J. S. 	 Solution of a mystery
32	mystery and detective fiction	Flynn, B. 	 Crime at the Crossways
32	mystery and detective fiction	Flynn, 8. 	 Murder en route
32	mystery and detective fiction	Footner, H. 	 Dead man's hat
32	mystery and detective fiction	Freeman, M. J. 	 Murder by magic
32	mystery and detective fiction	Freeman, R. A. 	 Dr Thorndyke omnibus
32	mystery and detective fiction	Freeman, R. A. 	 Dr. Thorndyke‘s discovery
32	mystery and detective fiction	Frost, L.. 	 Murder at large
32	mystery and detective fiction	Gask, A. 	 Murder in the night
32	mystery and detective fiction	Gates. H. L,. 	 Murder In the fog
32	mystery and detective fiction	Gibbs, A. 	 Murder between drinks
32	mystery and detective fiction	Gilbert. A. 	 Body on the beam
32	mystery and detective fiction	Gill. E. 	 What dread hand
32	mystery and detective fiction	Cowing. S. F. 	 Blood money
32	mystery and detective fiction	Gowlng, S. F. 	 Shadow man
32	mystery and detective fiction	Gregg. C. F. 	 Double solution
32	mystery and detective fiction	Gregg. C. F. 	 Inspector Higgins hurries
32	mystery and detective fiction	Gregory, J. 	 House of the opal
32	mystery and detective fiction	Gribble, L. R. 	 Serpentine murder
32	mystery and detective fiction	Gribble, L. R. 	 Stolen statesman
32	mystery and detective fiction	Grimshaw. B. E. 	 Mystery of Tumbling reel
32	mystery and detective fiction	Gunther, J. 	 Bright nemesis
32	mystery and detective fiction	Hamilton. M. A. 	 Murder In the House of commons
32	mystery and detective fiction	Heath, E. A. 	 Affair at Tideways
32	mystery and detective fiction	Herring, P. 	 Midnight murder
32	mystery and detective fiction	Heyward. D. H. 	 Pulitzer prize murders
32	mystery and detective fiction	Holt, H. 	 Murderer's luck
32	mystery and detective fiction	Holt, H. 	 The Wolf
32	mystery and detective fiction	Horler, S. 	 Danger's bright eyes
32	mystery and detective fiction	Hosken, C. J. w. 	 At the blue gates
32	mystery and detective fiction	Hughes, B. 	 Murder in the zoo
32	mystery and detective fiction	Hultman. H. J. 	 Murder In the French room
32	mystery and detective fiction	Jeffries, G. M. 	 Alias Blackshlrt
32	mystery and detective fiction	Jeffries, 0. H. 	 Unsolved
32	mystery and detective fiction	Jepson, S. 	 Mystery of the rabbit's paw
32	mystery and detective fiction	Johnson. M. C. 	 Damning trifles
32	mystery and detective fiction	Keck. M., and 	 Orbison. 0. Thursday island
32	mystery and detective fiction	Keeler. H. S. 	 Box from Japan
32	mystery and detective fiction	Keller, H. A. 	 Death sits in
32	mystery and detective fiction	King, R. 	 Murder on the yacht
32	mystery and detective fiction	King. R. 	 Valcour meets murder
32	mystery and detective fiction	Klein. N. 	 No! no! the woman
32	mystery and detective fiction	Knoblock. K. T. 	 Murder in the mind
32	mystery and detective fiction	Landon. H. 	 Owl's warning
32	mystery and detective fiction	Leroux. G. 	 Haunted chair
32	mystery and detective fiction	Lincoln. N. S. 13 	 Thirteenth street
32	mystery and detective fiction	MacDonald, P. 	 Escape
32	mystery and detective fiction	MacDonald, P. 	 Harbour
32	mystery and detective fiction	MacDonald. P. 	 Mystery at Friar's Pardon
32	mystery and detective fiction	MaeDonald. P. 	 Rope to spare
32	mystery and detective fiction	McGuire, P. 	 Three dead men
32	mystery and detective fiction	McNelle, H. C. 	 Bulldog Drummond returns
32	mystery and detective fiction	Marfleld. D. 	 Sword In the pool
32	mystery and detective fiction	Markham, V. 	 Devil drives
32	mystery and detective fiction	Mason. V. 	 The branded spy murders
32	mystery and detective fiction	Massey. M. 	 Left hand left
32	mystery and detective fiction	Massey. R. 	 Death In the wind
32	mystery and detective fiction	Masterman. w. 5. 	 Flying beast
32	mystery and detective fiction	Masterman. w. S. 	 Nameless crime
32	mystery and detective fiction	Mavlty. N. 	 Man who didn't mind hanging
32	mystery and detective fiction	Mechem. P. 	 Columbine cabin murders
32	mystery and detective fiction	Meynell, L. w. 	 House on the cliff
32	mystery and detective fiction	Moore. A. 	 House of lies
32	mystery and detective fiction	Nicolet, C. C. 	 Death of a bridge expert
32	mystery and detective fiction	Oppenheim. E. P. 	 Shudders and thrills
32	mystery and detective fiction	Oppenheim, E. P. 	 Sinners beware
32	mystery and detective fiction	Orde-Powlett, N. A. 	 Cast to death
32	mystery and detective fiction	Orr, C. 	 Wailing rock murders
32	mystery and detective fiction	Oursler, F. 	 About the murder of the circus queen
32	mystery and detective fiction	Page, S. H. 	 Resurrection murder case
32	mystery and detective fiction	Page, 5. H. 	 Sinister cargo
32	mystery and detective fiction	Palmer, 5. 	 Murder on the blackboard
32	mystery and detective fiction	Palmer, S. 	 Murder on wheels
32	mystery and detective fiction	Patrick, 0.. pseud. 	 Cottage sinister
32	mystery and detective fiction	Patrick, 0., pseud. 	 Murder at the Women's city club
32	mystery and detective fiction	Perry. T. 	 Never summer mystery
32	mystery and detective fiction	Pertwee, R. 	 Death In a domino
32	mystery and detective fiction	Phillpotts. E. 	 Clue from the stars
32	mystery and detective fiction	Plum. M. 	 Murder at the hunting club
32	mystery and detective fiction	Propper. M. M. 	 Student fraternity murder
32	mystery and detective fiction	Punshon, E. R. 	 Cottage murder
32	mystery and detective fiction	Queen, E., pseud. 	 Egyptian cross mystery
32	mystery and detective fiction	Queen, E., pseud. 	 Greek coffin mystery
32	mystery and detective fiction	Quin, B. G. 	 Death box
32	mystery and detective fiction	Quin. 8. G. 	 Murder rehearsal
32	mystery and detective fiction	Rees, A. J. 	 River mystery
32	mystery and detective fiction	Reeve, A. 8. 	 Kidnap club
32	mystery and detective fiction	Reilly, H. 	 Doll's trunk murder
32	mystery and detective fiction	Reilly, H. 	 Man with the painted head
32	mystery and detective fiction	Reynolds. 6. M. 	 Missing two
32	mystery and detective fiction	Rinehart. M. 	 Miss Pinkerton
32	mystery and detective fiction	Ripley. H. A. 	 Minute mysteries
32	mystery and detective fiction	Rivett, E. C. 	 Murder on the burrows
32	mystery and detective fiction	Robblns, C. 	 Dusty death
32	mystery and detective fiction	Rohmer, S.. pseud. 	 Mask of Fu Manchu
32	mystery and detective fiction	Rohmer, 5.. pseud. 	 Yu'an Hee See laughs
32	mystery and detective fiction	Ross, 8.. pseud. 	 Tragedy of
32	mystery and detective fiction	Ross, 8., pseud. 	 Tragedy of
32	mystery and detective fiction	Sanborn. R. B. 	 Murder by jury
32	mystery and detective fiction	Sayers, D. L. 	 Have his carcase
32	mystery and detective fiction	Sayers, D. L.. ed. 	 Second omnibus of crime
32	mystery and detective fiction	Sharp. D. 	 Code-letter mystery
32	mystery and detective fiction	Shore, V. 	 Murder on the glass floor
32	mystery and detective fiction	Simenon, 6.. pseud. 	 Crime of Inspector Maigret
32	mystery and detective fiction	Simenon. 6.. pseud. 	 Death of Monsieur Gallet
32	mystery and detective fiction	Snell, E. 	 Z ray
32	mystery and detective fiction	Snow, C. P. 	 Death under sail
32	mystery and detective fiction	Southwold. S. 	 Disturbing affair of Noel Blake
32	mystery and detective fiction	Sparroy, M. 	 Listening woman
32	mystery and detective fiction	Sproul, K. 	 Birthday murder
32	mystery and detective fiction	Starrett, V. 	 Dead man inside
32	mystery and detective fiction	Steeman, S. A. 	 Six dead men
32	mystery and detective fiction	Stevenson, B. E. 	 House next door
32	mystery and detective fiction	Stevenson, B. E. 	 Villa Aurelia
32	mystery and detective fiction	Stewart. A. W. 	 Castleford conundrum
32	mystery and detective fiction	Stewart. A. W. 	 Sweepstake murders
32	mystery and detective fiction	Stokes, F. W. 	 Young vanish
32	mystery and detective fiction	Strahan. K. C. 	 October house
32	mystery and detective fiction	Street, C. J. C. 	 Dead men at the Folly
32	mystery and detective fiction	Street, C. J. C. 	 Fire at Greycombe farm
32	mystery and detective fiction	Sykes, W. S. 	 Harness of death
32	mystery and detective fiction	Taylor, P. A. 	 Death lights a candle
32	mystery and detective fiction	Thayer, L,. 	 Glass knife
32	mystery and detective fiction	Thayer, L. 	 Scrimshaw millions
32	mystery and detective fiction	Thayer. T. 	 Thirteen women
32	mystery and detective fiction	Thomas, A. E. W. 	 Stolen Cellini
32	mystery and detective fiction	Thomas, E. 	 Death rides the dragon
32	mystery and detective fiction	Thomas. E. 	 Intimate stranger
32	mystery and detective fiction	Thorndike. A. R. 	 Devil In the belfry
32	mystery and detective fiction	Thvnne. M. 	 Murder in the dentist chair
32	mystery and detective fiction	Truss, S. 	 Coroner presides
32	mystery and detective fiction	Turnbull, M. 	 Return of Jenny Weaver
32	mystery and detective fiction	Turner, J. V. 	 First round murder
32	mystery and detective fiction	Turner, J. V. 	 House of strange guests
33	historical fiction	Allen, H. 	 Anthony Adverse
33	historical fiction	Bartlett, V. S. 	 Mistress of Monterey
33	historical fiction	Fierro Blanco, A. de. 	 Journey of the Flame.
33	historical fiction	white, S. E. 	 Ranchero
33	historical fiction	Jensen, J. V. 	 Fall of the king
33	historical fiction	Beck, L. 	 Great romantic
33	historical fiction	Lindsay, P. 	 Here comes the king
33	historical fiction	Linklater, E. 	 Men of Ness
33	historical fiction	Sabatini, R. 	 Stalking horse
33	historical fiction	Bedford-Jones, H. 	 King‘s pardon
33	historical fiction	Chamson, A. 	 Mountain tavern
33	historical fiction	Pemjean. L. 	 Captain d'Artagnan
33	historical fiction	waddell, H J. 	 Peter Abelard
33	historical fiction	Gorman. H. S. 	 Jonathan Bishop
33	historical fiction	Pllvier, T. 	 The Kaiser goes
33	historical fiction	Long, 0. M. v. 	 Dark Rosaleen
33	historical fiction	white, H. C. 	 Hatch in the night
33	historical fiction	Petersen, N. 	 Street of the sandalmakers
33	historical fiction	Smith, A. D. H. 	 Conqueror
33	historical fiction	Cralne, E. J. 	 The victors
33	historical fiction	Forester, C. S. 	 The gun
33	historical fiction	Herbst, J. 	 Pity is not enough
33	historical fiction	Garnett, D. 	 Pocahontas
33	historical fiction	Swanson, N. H. 	 Judas tree
33	historical fiction	Crownfleld, G. 	 Mistress Margaret
33	historical fiction	Roberts, K. L. 	 Rabble in arms
33	historical fiction	La Farge, o. 	 Long pennant
33	mystery and detective fiction	Adams, H. 	 Golf house murder
33	mystery and detective fiction	Adams, H. 	 Strange murder of Hatton
33	mystery and detective fiction	Aldrich, E. A. 	 Judson murder case
33	mystery and detective fiction	Allen, A. 	 Loose rib
33	mystery and detective fiction	Alltngham. M. 	 Kingdom of death
33	mystery and detective fiction	Andreas, F. 	 Death at heel
33	mystery and detective fiction	Ashbrook, H. 	 Murder of Sigurd Sharon
33	mystery and detective fiction	Ashby, R. C. 	 He arrived at dusk
33	mystery and detective fiction	Ashenhurst, J. M. 	 world's Fair murders
33	mystery and detective fiction	Aubrey-Fletcher, H. L. 	 The hanging captain
33	mystery and detective fiction	Bailey. H. C. 	 Mr. Fortune wonders
33	mystery and detective fiction	Balfour, H., pseud. 	 Murder and the redhaired girl
33	mystery and detective fiction	Barrett, M. 	 Wedding march murder
33	mystery and detective fiction	Barry. C., pseud. 	 Death In darkness
33	mystery and detective fiction	Barry, C., pseud. 	 Hrong murder mystery
33	mystery and detective fiction	Beck. H. C. 	 Death by clue
33	mystery and detective fiction	Heeding, F., pseud. 	 Emerald clasp
33	mystery and detective fiction	Biggers, 8. D. 	 Celebrated cases of Charlie Chan
33	mystery and detective fiction	Block, E. B. 	 Ravenelle riddle
33	mystery and detective fiction	Booth. L. F. 	 The bank vault mystery
33	mystery and detective fiction	Brand, N. 	 Death In the forest
33	mystery and detective fiction	Brown, M. C. 	 Murder at Mocking house
33	mystery and detective fiction	Brown. Z. 	 Clue of the Judaa tree
33	mystery and detective fiction	Brown, 2. 	 Bel Pie murders
33	mystery and detective fiction	Brown, 2. 	 Scotland Yard can wait
33	mystery and detective fiction	Burge, M. R. K. 	 Bull's eye
33	mystery and detective fiction	Burge, M. R. K. 	 Murderer of Sleep
33	mystery and detective fiction	Bush, C. 	 Case of the April fools
33	mystery and detective fiction	Bush, C. 	 The crank in the corner
33	mystery and detective fiction	Carr, J. B. 	 Death whispers
33	mystery and detective fiction	Carr, J. D. 	 Hag's Nook
33	mystery and detective fiction	Carr, J. D. 	 Mad Hatter mystery
33	mystery and detective fiction	Carter, J. F. 	 Death in the Senate
33	mystery and detective fiction	Casey, R. J. 	 Hot ice
33	mystery and detective fiction	Chambers, w. 	 Campanile murders
33	mystery and detective fiction	Charteris, L. 	 Getaway
33	mystery and detective fiction	Chase, A. M. 	 Danger in the dark
33	mystery and detective fiction	Chesterton, Q. K. 	 Father Brown omnibus
33	mystery and detective fiction	Child, N. 	 Murder conies home
33	mystery and detective fiction	Christie, A. 	 Thirteen at dinner
33	mystery and detective fiction	Christie, A. 	 Tuesday club murders
33	mystery and detective fiction	Cobb. I. S. 	 Murder day by day
33	mystery and detective fiction	Cohen, 0. R. 	 Townsend murder mystery
33	mystery and detective fiction	Cole, Q. 0. H. and M. I. 	 Death of a star
33	mystery and detective fiction	Cox, A. B. 	 Dead Mrs. Stratton
33	mystery and detective fiction	Cox. A. 8., and others. 	 Ask a policeman
33	mystery and detective fiction	Crofts, F. u. 	 Strange case of Dr. Earle
33	mystery and detective fiction	Curie, R. 	 Corruption
33	mystery and detective fiction	Daly, C. J. 	 Amateur murderer
33	mystery and detective fiction	Daly, C. J. 	 Murder won't wait
33	mystery and detective fiction	Dean. 0. 	 Case of Marie Corwin
33	mystery and detective fiction	Denbie. R. 	 Death on the Limited
33	mystery and detective fiction	Dickson, C. 	 Bowstring murders
33	mystery and detective fiction	Didelot, R. F. 	 Murder in the bath
33	mystery and detective fiction	Dllnot, G. 	 Sister Satan
33	mystery and detective fiction	Dilnot, c. 	 Thousandth case
33	mystery and detective fiction	Downing, T. 	 Murder on tour
33	mystery and detective fiction	Dutton, C. J. 	 Circle at death
33	mystery and detective fiction	Eberhard, F. G. 	 Skeleton talks
33	mystery and detective fiction	Eberhart, M. G. 	 Dark garden
33	mystery and detective fiction	Eberhart. M. G. 	 white cockatoo
33	mystery and detective fiction	Essex, R. 	 Slade of the Yard
33	mystery and detective fiction	Essex, R. 	 Slade scores again
33	mystery and detective fiction	Estaunle, E. 	 Madame Clapain
33	mystery and detective fiction	Farjeon, J. J. 	 Ben sees it through
33	mystery and detective fiction	Farjeon, J. J. 	 House on the marsh
33	mystery and detective fiction	Ferguson, J. A. 	 Night in Glengyle
33	mystery and detective fiction	Fielding. A. 	 Westwood mystery
33	mystery and detective fiction	Fitzsimmons, C. 	 Red rhapsody
33	mystery and detective fiction	Fletcher, J. S. 	 Burma ruby
33	mystery and detective fiction	Fletcher. J. S. 	 Fletcher omnibus
33	mystery and detective fiction	Fletcher, J. S. 	 Murder of a banker
33	mystery and detective fiction	Fletcher. J. S. 	 Murder of the lawyer's clerk
33	mystery and detective fiction	Fletcher, J. S. 	 Murder of the only witness
33	mystery and detective fiction	Footner, H. 	 Ring of eyes
33	mystery and detective fiction	Freeman, R. A. 	 Dr. Thorndyke Intervenes
33	mystery and detective fiction	Fuller, A., and 	 Allen, M. Blood on the common
33	mystery and detective fiction	Gardiner, D. 	 Transatlantic ghost
33	mystery and detective fiction	Gardner, E. S. 	 Case of the sulky girl
33	mystery and detective fiction	Gardner, E. S. 	 Case of the velvet claws
33	mystery and detective fiction	Gask, A. 	 Gentlemen of crime
33	mystery and detective fiction	Gates, H. L. 	 Laughing peril
33	mystery and detective fiction	Gates, H. L. 	 Mystery of the 7 bad men
33	mystery and detective fiction	Gill, E. 	 Crime de luxe
33	mystery and detective fiction	Gollomb. J. 	 Curtain of storm
33	mystery and detective fiction	Goodchlld, G. 	 Triumph of McLean
33	mystery and detective fiction	Gregory, J. 	 Case for Mr. Paul Savoy
33	mystery and detective fiction	Greig. I. 	 Baxter's second death
33	mystery and detective fiction	Harris, C. 	 Hide and go seek
33	mystery and detective fiction	Hauck, L. 	 Strange death of a doctor
33	mystery and detective fiction	HeiTernan, D. 	 Murder at Sunset Gables
33	mystery and detective fiction	Hill, 8. 	 Murder In full flight
33	mystery and detective fiction	Holt, H. 	 Call out the Flying squad
33	mystery and detective fiction	Holt, H. 	 Scarlet messenger
33	mystery and detective fiction	Horler, S. 	 Harlequin of death
33	mystery and detective fiction	Horler, S. 	 Menace
33	mystery and detective fiction	Horler, S. 	 Tiger Standish
33	mystery and detective fiction	Hunt. P. 	 Murders at Scandal house
33	mystery and detective fiction	Hutchinson, R. H. 	 Crime In the crystal
33	mystery and detective fiction	Hutchinson, R. H. 	 The doctor's first murder
33	mystery and detective fiction	Jacobs, T. C. H. 	 Kestrel house mystery
33	mystery and detective fiction	Jarrett, C. 	 Night over Fitch‘s pond
33	mystery and detective fiction	Jeffries, 0. M. 	 Imperfect crime
33	mystery and detective fiction	Jenkins, N. F. 	 Mexican trail
33	mystery and detective fiction	Jordan, E. G. 	 Young Mr
33	mystery and detective fiction	Keeler, H. S. 	 The face of the man from Saturn
33	mystery and detective fiction	Keeler, H. S. 	 washington square enigma
33	mystery and detective fiction	Keirstead, B. S., and 	 Campbell, D. F. Brownsville murders
33	mystery and detective fiction	Keyes, M. 	 Dead parrot
33	mystery and detective fiction	King, C. D. 	 Obelists at sea
33	mystery and detective fiction	Klein, N. 	 Destroying angel
33	mystery and detective fiction	Knoblock, K. T. 	 Take up the bodies
33	mystery and detective fiction	Koehler. R. P. 	 Puppets of chance
33	mystery and detective fiction	Kummer, F. A. 	 Spanish lady
33	mystery and detective fiction	Lane, K. N. 	 Hanging waters
33	mystery and detective fiction	Leblanc, M. 	 Homan with two smiles
33	mystery and detective fiction	Leyford, H. 	 Murder moon
33	mystery and detective fiction	Lowndes, M. A. 	 Novels of mystery
33	mystery and detective fiction	MacClure. V. 	 Death behind the door
33	mystery and detective fiction	MacDonald, P. 	 Death on my left
33	mystery and detective fiction	MacDonald, P. 	 Menace
33	mystery and detective fiction	MacDonald, P. 	 Mystery of the dead police
33	mystery and detective fiction	Macdonell, A. c. 	 Shakespeare murders
33	mystery and detective fiction	McGuire, P. 	 Death tolls the bell
33	mystery and detective fiction	Mackenzie, S. 	 Doctor Fram
33	mystery and detective fiction	McKinley, F. B. 	 Death sails the Nile
33	mystery and detective fiction	MacLeod, A. c. 	 Case of Matthew Crake
33	mystery and detective fiction	McNelle, H. C. 	 Bulldog Drumnond strikes back
33	mystery and detective fiction	Marfleld. D. 	 Mystery of king cobra
33	mystery and detective fiction	Markham, v. 	 Inspector Rusby's finale
33	mystery and detective fiction	Markham, V. 	 Red warning
33	mystery and detective fiction	Mason, V. w. 	 Sulu sea murders
33	mystery and detective fiction	Massey, M. 	 Through the lens
33	mystery and detective fiction	Mavlty, N. 	 Fate of Jane McKenzie
33	mystery and detective fiction	Meade, D. C. 	 Fatal shadows
33	mystery and detective fiction	Merritt, A. 	 Burn, witch, burn
33	mystery and detective fiction	Meynell, L. H. 	 So many doors
33	mystery and detective fiction	Milne. A. A. 	 Four days' wonder
33	mystery and detective fiction	Mitchell, G. 	 Saltmarsh murders
33	mystery and detective fiction	Mitchell, L. 	 Parachute murder
33	mystery and detective fiction	Morrah. D. 	 Mummy case mystery
33	mystery and detective fiction	Muir, A. 	 The dark adventure
33	mystery and detective fiction	Oppenheim, E. P. 	 Ex-detective
33	mystery and detective fiction	Oppenhein, E. P. 	 Murder at Monte Carlo
33	mystery and detective fiction	Packard, F. L. 	 Hidden door
33	mystery and detective fiction	Packard, F. L. 	 Purple ball
33	mystery and detective fiction	Page, 5. H. 	 Fool's gold
33	mystery and detective fiction	Page, S. H. 	 Murder flies the Atlantic
33	mystery and detective fiction	Palmer, S. 	 Puzzle of the pepper tree
33	mystery and detective fiction	Patrick, 0., pseud. 	 Murder at Cambridge
33	mystery and detective fiction	Patrick. 0., pseud. S. S. 	 Murder
33	mystery and detective fiction	Peck, w. 	 warrlelaw Jewel
33	mystery and detective fiction	Penfleld, C. 	 After the deacon was murdered
33	mystery and detective fiction	Penfleld, C. 	 After the widow changed her mind
33	mystery and detective fiction	Phlllpotts, E. 	 Bred in the bone
33	mystery and detective fiction	Phillpotts. E. 	 Captain's curio
33	mystery and detective fiction	Phillpotts. E. 	 witch‘s cauldron
33	mystery and detective fiction	Plum. M. 	 Murder at the World's Fair
33	mystery and detective fiction	Price, w. 	 Death Is a stowaway
33	mystery and detective fiction	Priestley. J. 8.. and 	 Bullett. G. H. I‘ll tell you everything
33	mystery and detective fiction	Punshon, E. R. 	 Genius In murder
33	mystery and detective fiction	Queen, E., pseud. 	 American gun mystery
33	mystery and detective fiction	Queen, E.. pseud. 	 Siamese twin mystery
33	mystery and detective fiction	Rees, A. J. 	 Aldringham's last chance
33	mystery and detective fiction	Rees. A. J. 	 Mystery at Peak House
33	mystery and detective fiction	Reynolds. 6. M. 	 Very private secretary
33	mystery and detective fiction	Rinehart, M. 	 The album
33	mystery and detective fiction	Rinehart, M. 	 Crime book
33	mystery and detective fiction	Robbins, C. 	 Mystery of Mr. Cross
33	mystery and detective fiction	Robins, R. 	 Murder at Bayslde
33	mystery and detective fiction	Rohmer, S., pseud. 	 Fu Manchu's bride
33	mystery and detective fiction	Rohmer. S., pseud. 	 Tales of East and West
33	mystery and detective fiction	Rollins. N. 	 Murder at Cypress Hall
33	mystery and detective fiction	Ross. 8.. pseud. 	 Drury Lane's last case
33	mystery and detective fiction	Ross, 8., pseud. 	 Tragedy of
33	mystery and detective fiction	Ryerson, F., and 	 Clements, C. C. Blind man's buff
33	mystery and detective fiction	Samat, J. T. 	 Shoes that had walked twice
33	mystery and detective fiction	Saunders, L., pseud. 	 Devil's den
33	mystery and detective fiction	Sayers. D. L. 	 Murder must advertise
33	mystery and detective fiction	Scarlett, R., pseud. 	 In the first degree
33	mystery and detective fiction	Scarlett, R., pseud. 	 Murder among the Angells
33	mystery and detective fiction	Sharp, 0. I, the criminal. 	 Mr '33)
33	mystery and detective fiction	Sharp, w. 	 Murder In Bermuda
33	mystery and detective fiction	Shaw, F. H. 	 Atlantic murder
33	mystery and detective fiction	Simenon. 0., pseud. 	 Crossroad murders
33	mystery and detective fiction	Simenon, 6., pseud. 	 Strange case of Peter the Lett
33	mystery and detective fiction	Smith, H. M. 	 Inspector Frost In Crevenna Cove
33	mystery and detective fiction	Sprlgg, C. 	 St. J. Pass the body
33	mystery and detective fiction	Sproul, K. 	 Death and the professors
33	mystery and detective fiction	Stceman. S. A. 	 Night of the 12th-13th
33	mystery and detective fiction	Stewart, A. H. 	 Gold brick Island
33	mystery and detective fiction	Strahan. K. 	 Merlwether mystery
33	mystery and detective fiction	Strange, J. S. 	 Black hawthorn
33	mystery and detective fiction	Street, C. J. C. 	 Claverton affair
33	mystery and detective fiction	Street, C. J. C. 	 Dr. Priestley lays a trap
33	mystery and detective fiction	Taylor, P. A. 	 Mystery of the Cape Cod players
33	mystery and detective fiction	Thayer. L. 	 Hell-gate tides
33	mystery and detective fiction	Thomas, E. 	 Dancing dead
33	mystery and detective fiction	Thomson. 8. H. P. C. 	 Richardson's first case
33	mystery and detective fiction	Thorndike. R. 	 Forbidden room
33	mystery and detective fiction	Trevor. 6.. pseud. 	 Has it murder
33	mystery and detective fiction	Turner, J. V. 	 Crime, unlimited
34	historical fiction	Nerfel, F. V. 	 Forty days of Musa Dagh
34	historical fiction	Prior, L. 	 A law unto themselves
34	historical fiction	Allngton. A. F. 	 Gentlemen—the regiment
34	historical fiction	Murray, 0. L. 	 Trumpeter, sound
34	historical fiction	Cronyn, G. 	 Fool of Venus
34	historical fiction	King-Hall, H. 	 Cay crusader
34	historical fiction	Buchan, J. 	 Free Fishers
34	historical fiction	Chambrun. C. 	 Two loves I have
34	historical fiction	Deeping, w. 	 Man on the white horse
34	historical fiction	Kaye-Smlth. S. 	 Gallyblrd
34	historical fiction	Kaye-Smlth, S. 	 Superstition corner
34	historical fiction	Lindsay P. 	 London bridge Is falling
34	historical fiction	Mabie, M. L. 	 The pale survivor
34	historical fiction	Mundy, T. 	 Tros of Samothrace
34	historical fiction	Tunstall, B. 	 Long day closes
34	historical fiction	Hilby, N. M. 	 Merry eternity
34	historical fiction	Cronyn, G. 	 Fool of Venus
34	historical fiction	Orczy. B. 	 A spy of Napoleon
34	historical fiction	Miles. 8. 	 Maria Paluna
34	historical fiction	Carter, 8. B. 	 Ship without sails
34	historical fiction	Sabatlnl, R. 	 Venetian masque
34	historical fiction	Stucken, E. 	 Great white gods
34	historical fiction	Asch, S. 	 Salvation
34	historical fiction	Graves, R. I 	 Claudius
34	historical fiction	Lewis, H. 	 Gladiators' revolt
34	historical fiction	Broster. D. K. 	 Dark mile
34	historical fiction	Buchan, J. 	 Free Fishers
34	historical fiction	Irwin. H. E. F. 	 Proud servant
34	historical fiction	Long. G. M. V. 	 Queen's caprice
34	historical fiction	Smith, A. D. H. 	 Alan Breck again
34	historical fiction	Hogan, P. 	 The dark comes early
34	historical fiction	Purtscher. N. 	 Homan astride
34	historical fiction	Birney, H. 	 Grim Journey
34	historical fiction	Swanson, N. H. 	 Phantom emperor
34	historical fiction	Stone, G. 	 Cold journey
34	historical fiction	Crownfleld, G. 	 where glory waits
34	historical fiction	Dudley, A. T. 	 A spy of
34	historical fiction	Roberts, K. 	 Captain Caution
34	historical fiction	Wilson. M. 	 Valiant wife
34	historical fiction	Burnett, N. R. 	 The Goodhues of Sinking Creek
34	historical fiction	Chambers, R. w. 	 Secret service operator
34	historical fiction	Kantor, M. 	 Long remember
34	mystery and detective fiction	Adams, H. 	 Mystery and Minette
34	mystery and detective fiction	Aiken, R. 	 Ghost hunters
34	mystery and detective fiction	Allingham, M. 	 Death of a ghost
34	mystery and detective fiction	Arlen, M. 	 Hell! said the duchess
34	mystery and detective fiction	Ashby, R. C. 	 Out went the taper
34	mystery and detective fiction	Bailey, H. C. 	 Shadow on the wall
34	mystery and detective fiction	Baker, H., pseud. 	 Cartwright Is dead, sir
34	mystery and detective fiction	Balmer, E., and 	 Wylie, P. Golden hoard
34	mystery and detective fiction	Baxter, 6., pseud. 	 Murder could not kill
34	mystery and detective fiction	Beedlng, F., pseud. 	 Street of the serpents
34	mystery and detective fiction	Bentley, J. 	 Eyes of death
34	mystery and detective fiction	Bickel. M. 	 Brassbound
34	mystery and detective fiction	Black, E. B. 	 The crime of the chromium bowl
34	mystery and detective fiction	Black, R. J. 	 Killing of the golden goose
34	mystery and detective fiction	Blochman, L. G. 	 Bombay mail
34	mystery and detective fiction	Bove, E. 	 Murder of Suzy Pommier
34	mystery and detective fiction	Bower, B. M.. pseud. 	 Haunted hills
34	mystery and detective fiction	Boyd, M. 	 Murder in the stacks
34	mystery and detective fiction	Bradley, M. 	 Unconfessed
34	mystery and detective fiction	Bridges, V. 	 I did not kill Osborne
34	mystery and detective fiction	Brown, 2. 	 Mr. Pinkerton finds a body
34	mystery and detective fiction	Brown, 2. 	 Mr. Pinkerton goes to Scotland Yard
34	mystery and detective fiction	Brown, Z. 	 strangled witness
34	mystery and detective fiction	Browne, D. G. 	 Plan
34	mystery and detective fiction	Browne, E. 	 Murder by appointment
